role,module,status,route,key_files,db_objects,feature_flag,gaps,owner
advisor,CRM/Households,✅,/crm,"CRMDashboard.tsx,ContactBook.tsx,PipelineManager.tsx","advisor_client_links,client_invitations,households",,None,CRM Team
advisor,Onboarding,✅,/advisor/onboarding,"AdvisorOnboardingPage.tsx,AdvisorOnboardingSequencePage.tsx","advisor_onboarding,advisor_profiles",,None,Onboarding Team
advisor,Doc Requests/Vault,🟡,/vault,"DocumentVault.tsx,DocumentUploadZone.tsx","documents,storage.buckets",,E-sign integration missing,Vault Team
advisor,Pipelines,✅,/advisor/pipeline,"PipelineManager.tsx,PipelineKanban.tsx","leads,lead_stages,pipelines",,None,CRM Team
advisor,Tasks/Workflows,🟡,/advisor/tasks,"SmartReminders.tsx,AutomatedReminders.tsx","tasks,workflow_templates",,Workflow builder missing,Workflow Team
advisor,Scheduling,✅,/advisor/schedule,scheduler module,"advisor_availability,appointments",,None,Scheduler Team
advisor,Billing/Stripe,🟡,/advisor/billing,AdvisorBillingPage.tsx,"billing_daily,billing_metrics",paymentsEnabled,Full Stripe integration disabled,Billing Team
advisor,Reports/PDF,🟡,/advisor/reports,"CRMAnalytics.tsx,ROIDashboard.tsx","reports,analytics_events",,PDF generation limited,Reports Team
advisor,Templates/Playbooks,🟡,/advisor/templates,advisor_email_templates,"advisor_email_templates,communication_templates",,Playbook system missing,Templates Team
advisor,Compliance,🟡,/advisor/compliance,AdvisorCompliancePage.tsx,"compliance_checks,audit_logs",,RIA compliance rules missing,Compliance Team
advisor,Integrations,🔴,-,-,api_integrations,,No CRM integrations,Integration Team
advisor,Marketplace,✅,/marketplace,"MarketplacePage.tsx,AdvisorDirectory.tsx","professionals,marketplace_listings",,None,Marketplace Team
cpa,CRM/Households,🟡,/cpa/clients,"accounting_clients,ContactBook.tsx","accounting_clients,accounting_entities",,Family linking missing,CRM Team
cpa,Onboarding,✅,/cpa/onboarding,"AccountantOnboardingPage.tsx,AccountantOnboardingSequencePage.tsx",accountant_onboarding,,None,Onboarding Team
cpa,Doc Requests/Vault,✅,/cpa/documents,"accounting_documents,DocumentVault.tsx","accounting_documents,storage.buckets",,None,Vault Team
cpa,Pipelines,🟡,/cpa/engagements,accounting_engagements,"accounting_engagements,accounting_tasks",,Visual pipeline missing,CRM Team
cpa,Tasks/Workflows,✅,/cpa/tasks,"accounting_tasks,workflow templates","accounting_tasks,accounting_outsourcing_routes",,None,Workflow Team
cpa,Scheduling,🔴,-,-,-,,No scheduling system,Scheduler Team
cpa,Billing/Stripe,✅,/cpa/billing,"accounting_invoices,accounting_payments","accounting_invoices,accounting_payments",,None,Billing Team
cpa,Reports/PDF,✅,/cpa/reports,"accounting_returns,reporting system","accounting_returns,bookkeeping_reports",,None,Reports Team
cpa,Templates/Playbooks,🔴,-,-,-,,No template system,Templates Team
cpa,Compliance,✅,/cpa/compliance,"CE tracking,license status","accountant_ce_records,accountant_license_status",,None,Compliance Team
cpa,Integrations,🟡,/cpa/integrations,Outsourcing routes,"accounting_outsourcing_routes,api_integrations",,QuickBooks/Xero missing,Integration Team
cpa,Marketplace,🔴,-,-,-,,No CPA marketplace,Marketplace Team
attorney-estate,CRM/Households,🟡,/attorney/estate/clients,attorney_client_links,"attorney_client_links,attorney_client_invitations",,Household grouping missing,CRM Team
attorney-estate,Onboarding,✅,/attorney/onboarding,"AttorneyOnboardingPage.tsx,AttorneyOnboardingFlowPage.tsx",attorney_onboarding,,None,Onboarding Team
attorney-estate,Doc Requests/Vault,✅,/attorney/vault,"DocumentVault.tsx,attorney documents","attorney_documents,attorney_document_shares",,None,Vault Team
attorney-estate,Pipelines,🔴,-,-,-,,No estate planning pipeline,CRM Team
attorney-estate,Tasks/Workflows,🔴,-,-,-,,No estate workflow system,Workflow Team
attorney-estate,Scheduling,🔴,-,-,-,,No appointment scheduling,Scheduler Team
attorney-estate,Billing/Stripe,🔴,-,-,-,,No billing system,Billing Team
attorney-estate,Reports/PDF,🔴,-,-,-,,No estate reports,Reports Team
attorney-estate,Templates/Playbooks,🔴,-,-,-,,No estate templates,Templates Team
attorney-estate,Compliance,✅,/attorney/compliance,"CLE tracking,bar status","attorney_cle_records,attorney_bar_status",,None,Compliance Team
attorney-estate,Integrations,🔴,-,-,-,,No legal software integrations,Integration Team
attorney-estate,Marketplace,🔴,-,-,-,,No attorney marketplace,Marketplace Team
attorney-litigation,CRM/Households,🔴,-,-,-,,No client management,CRM Team
attorney-litigation,Onboarding,✅,/attorney/litigation/onboarding,LitigationAttorneyOnboardingPage.tsx,attorney_onboarding,,None,Onboarding Team
