component,imports
App.tsx,"React, Routes, Route, Navigate, ThemeProvider, HelmetProvider, BrandHeader, MegaMenu, ToolsProvider, Toaster, DevPanel, AutoLoadDemo, CTAStickyBar, @/styles/brand.css"
BrandHeader.tsx,"React, Link, useAuth, useFeatureFlags, BrandedFooter"
MegaMenu.tsx,"React, useState, useRef, useEffect, Link, useLocation, Transition"
ToolsContext.tsx,"React, createContext, useContext, useState, useEffect"
FamiliesIndex.tsx,"React, Hero, ToolsGrid, PersonaSubHeader, Link, Calculator, TrendingUp, Shield, FileText, Users, Zap"
ProsIndex.tsx,"React, Hero, ToolsGrid, PersonaSubHeader, Link, Calculator, Briefcase, Users, TrendingUp"
HealthcareIndex.tsx,"React, min-h-screen, bg-[hsl(var(--bfo-black))], container, mx-auto"
BrandedFooter.tsx,"React, Link, useLocation, ExternalLink, Mail, Phone"
DevPanel.tsx,"React, useState, useEffect, Button, Card, Badge"
AutoLoadDemo.tsx,"React, useEffect, useLocation"
CTAStickyBar.tsx,"React, useState, useEffect, Button, X"
Hero.tsx,"React, Button, ArrowRight, Play"
ToolsGrid.tsx,"React, Link, Card, CardContent, CardHeader, CardTitle"
PersonaSubHeader.tsx,"React, ReactNode, cn"
FamilyHero.tsx,"React, useFeatureFlag, Button, TrendingUp, Shield, Calculator"
DemoModeController.tsx,"React, useState, Switch, Label"
VoiceBar.tsx,"React, useState, useEffect, Button, Mic, MicOff"
VoiceDrawer.tsx,"React, useState, useEffect, Drawer, Button, Badge"
FeatureFlagManagement.tsx,"React, useState, Card, CardContent, CardHeader, CardTitle, Switch"
PublishTab.tsx,"React, useState, Button, Card, Badge, CheckCircle, AlertTriangle"
PersonalizationControls.tsx,"React, useFeatureFlag, Switch, Label, Card"
AdminMigrations.tsx,"React, useState, Button, Card, Table, Badge"
PersonaDashboard.tsx,"React, Card, CardContent, CardHeader, CardTitle, Badge"
SecurityDashboard.tsx,"React, useState, useEffect, Card, Alert, Badge"
IPTracker.tsx,"React, useState, Card, Input, Button, Search"
RequireAdmin.tsx,"React, useAuth, hasRole, Navigate"
ProtectedRoute.tsx,"React, useAuth, Navigate, ReactNode"
SolutionsHub.tsx,"React, Link, Grid, Card, Calculator, TrendingUp"
AdvisorsLayout.tsx,"React, Outlet, Navigation, Sidebar"
Toaster.tsx,"React, Toast, ToastProvider, ToastViewport"
FamiliesToolsBand.tsx,"React, useFeatureFlags, Card, Button, Link"
Family90sDemo.tsx,"React, useState, Button, Card, Progress"
StressTestPreview.tsx,"React, useState, Chart, Card, Button"
